Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	12595	-	0	0	0	1	0	0	11	51	0	0	0	0	0	0	0	1	0	0	131	72	0	0	0	5	0	2
fsh-generated/resources/ActorDefinition-Credential.Holder.json	465	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Credential.Issuer.json	465	6	1	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	29	51	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-GDHCN.json	461	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	50	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TNG.json	427	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	41	46	0	0	0	6	0	0
fsh-generated/resources/ActorDefinition-TNP.json	431	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.DOMAIN.json	589	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	5120	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.KEYUSAGE.json	1547	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	153	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-COSEHeader.json	1440	5	0	0	0	0	0	7	0	29	0	0	0	0	0	0	0	0	0	0	46	488	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-CWT.json	1726	5	0	0	0	0	0	51	0	17	0	0	0	0	0	0	0	0	0	0	51	213	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWTPayload.json	2091	5	1	0	0	0	0	52	0	18	0	0	0	0	0	0	0	0	0	0	55	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HCert.json	2183	5	0	0	0	0	0	48	0	12	0	0	0	0	0	0	0	0	0	0	55	177	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SchemeInformation.json	7680	6	0	0	0	0	0	55	0	22	0	0	0	0	0	0	0	1	0	0	158	332	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLink.json	1401	5	0	0	0	0	0	64	0	11	0	0	0	0	0	0	0	0	0	0	42	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLinkPayload.json	5267	5	0	0	0	0	0	59	0	22	0	0	0	0	0	0	0	0	0	0	83	117	0	0	0	2	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.DOMAIN.json	563	4	0	0	0	0	0	0	1	144	0	0	0	0	0	0	0	0	0	0	22	4236	0	1	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.KEYUSAGE.json	868	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	32	173	0	0	0	0	0	0
