Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	13192	-	0	0	0	0	0	0	12	419	0	0	0	0	0	0	0	1	0	0	124	109	0	0	1	6	0	1
fsh-generated/resources/CodeSystem-WHO.TRUST.ACTOR.json	1054	7	1	0	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	26	6731	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.DOMAIN.json	588	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	197	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.KEYUSAGE.json	1547	9	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	37	208	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.TRANSACTION.json	686	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	202	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-COSEHeader.json	1440	10	0	0	0	0	0	12	1	27	0	0	1	0	0	0	0	0	0	0	46	654	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWT.json	1726	10	0	0	0	0	0	33	0	12	0	0	0	0	0	0	0	0	0	0	50	316	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWTPayload.json	2091	10	0	0	0	0	0	57	0	10	0	0	0	0	0	0	0	0	0	0	55	162	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HCert.json	2605	9	1	0	0	0	0	44	0	18	0	0	0	0	0	0	0	0	0	0	61	161	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SchemeInformation.json	7680	11	0	0	0	0	0	55	0	25	0	0	0	0	0	0	0	1	0	0	153	402	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SmartHealthLink.json	1401	9	0	0	0	0	0	52	0	9	0	0	0	0	0	0	0	0	0	0	39	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLinkPayload.json	5267	10	0	0	0	0	0	32	0	19	0	0	0	0	0	0	0	0	0	0	82	120	0	0	0	2	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.ACTOR.json	454	7	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	17	11935	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.DOMAIN.json	562	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	194	0	0	0	1	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.KEYUSAGE.json	868	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	167	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.TRANSACTION.json	484	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	413	0	0	0	0	0	0
