Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	14136	-	0	0	0	0	0	0	10	85	0	0	0	0	0	0	0	0	0	0	143	87	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-Credential.Holder.json	733	4	1	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	17	27	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Credential.Issuer.json	733	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-GDHCN.json	703	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TNG.json	667	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TNP.json	671	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-WHO.TRUST.ACTOR.json	1054	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	5667	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.DOMAIN.json	588	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	15	119	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.KEYUSAGE.json	1547	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	119	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-WHO.TRUST.TRANSACTION.json	686	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	150	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-COSEHeader.json	1440	4	0	0	0	0	0	5	0	27	0	0	0	0	0	0	0	0	0	0	42	695	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWT.json	1726	3	0	0	0	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	45	181	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWTPayload.json	2091	4	0	0	0	0	0	28	0	9	0	0	0	0	0	0	0	0	0	0	48	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HCert.json	2598	3	0	0	0	0	0	27	0	8	0	0	0	0	0	0	0	0	0	0	55	150	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SchemeInformation.json	7680	4	0	0	0	0	0	38	0	17	0	0	1	0	0	0	0	1	0	0	151	313	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLink.json	1401	3	0	0	0	0	0	29	0	6	0	0	0	0	0	0	0	0	0	0	36	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SmartHealthLinkPayload.json	5267	4	0	0	0	0	0	31	0	12	0	0	0	0	0	0	0	0	0	0	75	114	0	0	0	2	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.ACTOR.json	454	5	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	13	10978	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.DOMAIN.json	562	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	106	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.KEYUSAGE.json	868	5	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	90	0	0	0	1	0	0
fsh-generated/resources/ValueSet-WHO.TRUST.TRANSACTION.json	484	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	416	0	0	0	0	0	0
