Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	60486	-	0	0	0	0	0	0	13	146	0	0	0	0	0	0	0	1	0	0	181	344	0	0	0	10	0	1
fsh-generated/resources/ActorDefinition-Holder.json	580	11	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	34	34	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	908	8	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	23	30	0	0	0	0	0	1
fsh-generated/resources/ActorDefinition-Receiver.json	620	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	31	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	503	7	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	32	30	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	537	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Actors.json	1041	10	0	0	1	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	22	411	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConnectionTypes.json	596	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	22	74	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Domains.json	1377	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	27	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-KeyUsage.json	2019	8	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	26	71	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Participants.json	586	13	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	24	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PayloadTypes.json	579	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	21	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-RefMartCountryList.json	16857	20	0	0	0	0	0	0	4	32	0	0	0	0	0	0	0	0	0	0	76	172	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-Transactions.json	661	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	21	52	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-ALB-All.json	898	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-ALB-DSC.json	927	9	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-ALB-SCA.json	927	9	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-AND-All.json	898	10	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	20	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-AND-DSC.json	927	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-AND-SCA.json	927	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	0	0
