"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVEPMTCT","HIVEPMTCT","","","",0,*,"","","","null {[]} {[]}
","HIV.E-F PMTCT","This tab describes the data that are collected relevant to HIV care and treatment of pregnant and postpartum women and their newborns during the delivery and postpartum care and the infant diagnosis and final HIV status workflows (HIV.E and HIV.F)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVEPMTCT.pregnantWomanFirstName","HIVEPMTCT.pregnantWomanFirstName","","","",0,1,"","","","string {[]} {[]}
","Pregnant woman's first name","Pregnant woman's first or given name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE1
",,,,"HIVEPMTCT.pregnantWomanFirstName",0,1,"",""
"HIVEPMTCT.pregnantWomanSurname","HIVEPMTCT.pregnantWomanSurname","","","",0,1,"","","","string {[]} {[]}
","Pregnant woman's surname","Pregnant woman's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE2
",,,,"HIVEPMTCT.pregnantWomanSurname",0,1,"",""
"HIVEPMTCT.pregnantWomanUniqueId","HIVEPMTCT.pregnantWomanUniqueId","","","",0,1,"","","","Identifier {[]} {[]}
","Pregnant woman's unique ID","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE3
",,,,"HIVEPMTCT.pregnantWomanUniqueId",0,1,"",""
"HIVEPMTCT.antenatalCareNumber","HIVEPMTCT.antenatalCareNumber","","","",0,1,"","","","Identifier {[]} {[]}
","Antenatal care number","Identification number assigned to woman at first visit to the ANC based on national system","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE4
",,,,"HIVEPMTCT.antenatalCareNumber",0,1,"",""
"HIVEPMTCT.gestationalAge","HIVEPMTCT.gestationalAge","","","",1,1,"","","","integer {[]} {[]}
","Gestational age","Gestational age in weeks and/or days depending on the source of gestational age","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE5
",,,,"HIVEPMTCT.gestationalAge",1,1,"",""
"HIVEPMTCT.sourceOfGestationalAge","HIVEPMTCT.sourceOfGestationalAge","","","",1,1,"","","","Coding {[]} {[]}
","Source of gestational age","Gestational age can be calculated multiple ways. This data element describes where the gestational age above has been calculated from.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE6","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE6
",,,,"HIVEPMTCT.sourceOfGestationalAge",1,1,"",""
"HIVEPMTCT.expectedDateOfDeliveryEdd","HIVEPMTCT.expectedDateOfDeliveryEdd","","","",1,1,"","","","date {[]} {[]}
","Expected date of delivery (EDD)","Expected date of delivery based on gestational age","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE10
",,,,"HIVEPMTCT.expectedDateOfDeliveryEdd",1,1,"",""
"HIVEPMTCT.numberOfPregnanciesGravida","HIVEPMTCT.numberOfPregnanciesGravida","","","",1,1,"","","","integer {[]} {[]}
","Number of pregnancies (gravida)","Total number of times the woman has been pregnant (including this pregnancy). Also referred to as gravida.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE11
",,,,"HIVEPMTCT.numberOfPregnanciesGravida",1,1,"",""
"HIVEPMTCT.numberOfPreviousPregnancies","HIVEPMTCT.numberOfPreviousPregnancies","","","",1,1,"","","","integer {[]} {[]}
","Number of previous pregnancies","This calculates the total number of all previous pregnancies (i.e. not including this current pregnancy). This is done for easier obstetric history calculations.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE12
",,,,"HIVEPMTCT.numberOfPreviousPregnancies",1,1,"",""
"HIVEPMTCT.numberOfMiscarriagesAndOrAbortions","HIVEPMTCT.numberOfMiscarriagesAndOrAbortions","","","",1,1,"","","","integer {[]} {[]}
","Number of miscarriages and/or abortions","Total number of pregnancies lost or ended due to miscarriages and/or abortions before 22 weeks / 5 months","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE13
",,,,"HIVEPMTCT.numberOfMiscarriagesAndOrAbortions",1,1,"",""
"HIVEPMTCT.numberOfLiveBirths","HIVEPMTCT.numberOfLiveBirths","","","",1,1,"","","","integer {[]} {[]}
","Number of live births","Total number of live births after 22 weeks","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE14
",,,,"HIVEPMTCT.numberOfLiveBirths",1,1,"",""
"HIVEPMTCT.numberOfCaesarianSections","HIVEPMTCT.numberOfCaesarianSections","","","",1,1,"","","","integer {[]} {[]}
","Number of caesarian sections","Total number of caesarean sections","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE15
",,,,"HIVEPMTCT.numberOfCaesarianSections",1,1,"",""
"HIVEPMTCT.numberOfStillbirths","HIVEPMTCT.numberOfStillbirths","","","",1,1,"","","","integer {[]} {[]}
","Number of stillbirths","Total number of stillbirths after 22 weeks","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE16
",,,,"HIVEPMTCT.numberOfStillbirths",1,1,"",""
"HIVEPMTCT.pastPregnancyComplications","HIVEPMTCT.pastPregnancyComplications","","","",0,*,"","","","Coding {[]} {[]}
","Past pregnancy complications","Whether the woman has had any complications or problems in any previous pregnancy","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE17","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE17
",,,,"HIVEPMTCT.pastPregnancyComplications",0,*,"",""
