"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVHFollowup","HIVHFollowup","","","",0,*,"","","","null {[]} {[]}
","HIV.H Follow-up","This tab describes the data that are collected during the follow-up and contacting clients workflow (HIV.H)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVHFollowup.reasonForFollowUp","HIVHFollowup.reasonForFollowUp","","","",1,*,"","","","Coding {[]} {[]}
","Reason for follow-up","The reason why the client is being followed up","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE1","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE1
",,,,"HIVHFollowup.reasonForFollowUp",1,*,"",""
"HIVHFollowup.otherFollowUpReasonSpecify","HIVHFollowup.otherFollowUpReasonSpecify","","","",0,1,"","","","string {[]} {[]}
","Other follow-up reason (specify)","Client was followed up for another reason (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE9
",,,,"HIVHFollowup.otherFollowUpReasonSpecify",0,1,"",""
"HIVHFollowup.clientContactAttempted","HIVHFollowup.clientContactAttempted","","","",0,1,"","","","boolean {[]} {[]}
","Client contact attempted","An attempt to locate the client was made","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE10
",,,,"HIVHFollowup.clientContactAttempted",0,1,"",""
"HIVHFollowup.dateOfContactAttempt","HIVHFollowup.dateOfContactAttempt","","","",1,1,"","","","dateTime {[]} {[]}
","Date of contact attempt","Date of attempt to contact client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE11
",,,,"HIVHFollowup.dateOfContactAttempt",1,1,"",""
"HIVHFollowup.contactAttemptedBy","HIVHFollowup.contactAttemptedBy","","","",1,1,"","","","string {[]} {[]}
","Contact attempted by","Who attempted to reach out to the client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE12
",,,,"HIVHFollowup.contactAttemptedBy",1,1,"",""
"HIVHFollowup.contactMethod","HIVHFollowup.contactMethod","","","",1,1,"","","","Coding {[]} {[]}
","Contact method","Method used to try to reach out to the client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE13","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE13
",,,,"HIVHFollowup.contactMethod",1,1,"",""
"HIVHFollowup.sourceOfInformation","HIVHFollowup.sourceOfInformation","","","",1,1,"","","","Coding {[]} {[]}
","Source of information","Source of information about the client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE17","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE17
",,,,"HIVHFollowup.sourceOfInformation",1,1,"",""
"HIVHFollowup.otherSourceOfInformationSpecify","HIVHFollowup.otherSourceOfInformationSpecify","","","",0,1,"","","","string {[]} {[]}
","Other source of information (specify)","Information about the client's status was provided by someone else (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE22
",,,,"HIVHFollowup.otherSourceOfInformationSpecify",0,1,"",""
"HIVHFollowup.outcomeFromOutreachAttempt","HIVHFollowup.outcomeFromOutreachAttempt","","","",0,1,"","","","Coding {[]} {[]}
","Outcome from outreach attempt","Detailed outcome from the attempt to locate the client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE23","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE23
",,,,"HIVHFollowup.outcomeFromOutreachAttempt",0,1,"",""
"HIVHFollowup.movedFromCatchmentArea","HIVHFollowup.movedFromCatchmentArea","","","",0,1,"","","","boolean {[]} {[]}
","Moved from catchment area","The client moved from the catchment area (may be reported from the community level)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE30
",,,,"HIVHFollowup.movedFromCatchmentArea",0,1,"",""
