"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVPrevention","HIVPrevention","","","",0,*,"","","","null {[]} {[]}
","HIV.Prevention","This tab describes the data that are collected during HIV prevention activities (not covered in the previous business processes)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVPrevention.atElevatedRiskForHivAcquisition","HIVPrevention.atElevatedRiskForHivAcquisition","","","",0,1,"","","","boolean {[]} {[]}
","At elevated risk for HIV acquisition","Client is at elevated risk for HIV acquisition, defined according to country/programme context","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE1
",,,,"HIVPrevention.atElevatedRiskForHivAcquisition",0,1,"",""
"HIVPrevention.hivPreventionIntervention","HIVPrevention.hivPreventionIntervention","","","",0,*,"","","","Coding {[]} {[]}
","HIV prevention intervention","HIV prevention intervention that client accessed","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.PRV.DE2","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE2
",,,,"HIVPrevention.hivPreventionIntervention",0,*,"",""
"HIVPrevention.otherHivPreventionIntervention","HIVPrevention.otherHivPreventionIntervention","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Client accessed other HIV prevention services (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE9
",,,,"HIVPrevention.otherHivPreventionIntervention",0,1,"",""
"HIVPrevention.dateAccessedHivPreventionIntervention","HIVPrevention.dateAccessedHivPreventionIntervention","","","",0,1,"","","","date {[]} {[]}
","Date accessed HIV prevention intervention","Date the client accessed HIV prevention intervention","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE10
",,,,"HIVPrevention.dateAccessedHivPreventionIntervention",0,1,"",""
"HIVPrevention.hivStatusOfContact","HIVPrevention.hivStatusOfContact","","","",0,1,"","","","Coding {[]} {[]}
","HIV status of contact","The HIV status of the client's contact","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.PRV.DE11","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE11
",,,,"HIVPrevention.hivStatusOfContact",0,1,"",""
"HIVPrevention.dateInjectingEquipmentProvided","HIVPrevention.dateInjectingEquipmentProvided","","","",0,1,"","","","date {[]} {[]}
","Date injecting equipment provided","Date client was provided with injecting equipment","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE15
",,,,"HIVPrevention.dateInjectingEquipmentProvided",0,1,"",""
"HIVPrevention.numberOfNeedlesSyringesProvided","HIVPrevention.numberOfNeedlesSyringesProvided","","","",0,1,"","","","integer {[]} {[]}
","Number of needles-syringes provided","Number of needles-syringes provided to client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE16
",,,,"HIVPrevention.numberOfNeedlesSyringesProvided",0,1,"",""
"HIVPrevention.dateOamtInitiated","HIVPrevention.dateOamtInitiated","","","",0,1,"","","","date {[]} {[]}
","Date OAMT initiated","Date client initiated opioid agonist maintenance treatment (OAMT)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE17
",,,,"HIVPrevention.dateOamtInitiated",0,1,"",""
"HIVPrevention.dateOamtDoseReceived","HIVPrevention.dateOamtDoseReceived","","","",0,1,"","","","date {[]} {[]}
","Date OAMT dose received","Date client received opioid agonist maintenance treatment (OAMT) dose","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE18
",,,,"HIVPrevention.dateOamtDoseReceived",0,1,"",""
"HIVPrevention.dateOamtTakeAwayDosesDispensed","HIVPrevention.dateOamtTakeAwayDosesDispensed","","","",0,1,"","","","date {[]} {[]}
","Date OAMT take-away dose(s) dispensed","Date the client was dispensed opioid agonist maintenance treatment (OAMT) take-away dose(s)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.PRV.DE19
",,,,"HIVPrevention.dateOamtTakeAwayDosesDispensed",0,1,"",""
