URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.4.832",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","ValueSet/adverse-event-actuality"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/episode-of-care-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.665",EpisodeOfCareStatus,EpisodeOfCareStatus,"The status of the episode of care.","ValueSet/episode-of-care-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/observation-codes"
http://smart.who.int/hiv/CodeSystem/HIVConcepts,1.0.0,active,,HIVConcepts,WHO SMART HIV Concepts CodeSystem,"This code system defines the concepts used in the World Health Organization SMART HIV DAK","ValueSet/HIV.B.DE207,ValueSet/HIV.B.DE325,ValueSet/HIV.B.DE204,ValueSet/HIV.D.DE197,ValueSet/HIV.D.DE753,ValueSet/HIV.B.DE33,ValueSet/HIV.D.DE992,ValueSet/HIV.D.DE636,ValueSet/HIV.D.DE877,ValueSet/HIV.B.DE201,ValueSet/HIV.D.DE519,ValueSet/HIV.E.DE168,ValueSet/HIV.B.DE37,ValueSet/HIV.D.DE43,ValueSet/HIV.B.DE317,ValueSet/HIV.B.DE312,ValueSet/HIV.H.DE74,ValueSet/HIV.D.DE764,ValueSet/HIV.B.DE22,ValueSet/HIV.D.DE646,ValueSet/HIV.D.DE525,ValueSet/HIV.E.DE6,ValueSet/HIV.E.DE155,ValueSet/HIV.D.DE56,ValueSet/HIV.B.DE106,ValueSet/HIV.E.DE141,ValueSet/HIV.B.DE226,ValueSet/HIV.E.DE264,ValueSet/HIV.B.DE1,ValueSet/HIV.D.DE532,ValueSet/HIV.B.DE5,ValueSet/HIV.D.DE893,ValueSet/HIV.D.DE658,ValueSet/HIV.D.DE537,ValueSet/HIV.D.DE778,ValueSet/HIV.B.DE8,ValueSet/HIV.D.DE897,ValueSet/HIV.B.DE102,ValueSet/HIV.E.DE145,ValueSet/HIV.D.DE418,ValueSet/HIV.E.DE149,ValueSet/HIV.B.DE15,ValueSet/HIV.B.DE18,ValueSet/HIV.I.DE2,ValueSet/HIV.D.DE664,ValueSet/HIV.D.DE668,ValueSet/HIV.D.DE789,ValueSet/HIV.E.DE255,ValueSet/HIV.E.DE136,ValueSet/HIV.E.DE259,ValueSet/HIV.D.DE90,ValueSet/HIV.PRV.DE11,ValueSet/HIV.D.DE391,ValueSet/HIV.D.DE152,ValueSet/HIV.C.DE91,ValueSet/HIV.D.DE399,ValueSet/HIV.D.DE156,ValueSet/HIV.E.DE17,ValueSet/HIV.C.DE95,ValueSet/HIV.D.DE712,ValueSet/HIV.D.DE836,ValueSet/HIV.D.DE956,ValueSet/HIV.G.DE29,ValueSet/HIV.D.DE719,ValueSet/HIV.E.DE194,ValueSet/HIV.G.DE22,ValueSet/HIV.D.DE162,ValueSet/HIV.C.DE75,ValueSet/HIV.E.DE190,ValueSet/HIV.C.DE80,ValueSet/HIV.B.DE191,ValueSet/HIV.D.DE289,ValueSet/HIV.D.DE845,ValueSet/HIV.D.DE606,ValueSet/HIV.G.DE18,ValueSet/HIV.G.DE13,ValueSet/HIV.E.DE180,ValueSet/HIV.B.DE306,ValueSet/HIV.E.DE183,ValueSet/HIV.E.DE186,ValueSet/HIV.B.DE301,ValueSet/HIV.D.DE170,ValueSet/HIV.E.DE41,ValueSet/HIV.D.DE610,ValueSet/HIV.D.DE973,ValueSet/HIV.D.DE731,ValueSet/HIV.D.DE179,ValueSet/HIV.D.DE853,ValueSet/HIV.D.DE858,ValueSet/HIV.D.DE65,ValueSet/HIV.D.DE83,ValueSet/HIV.A.DE5,ValueSet/HIV.E.DE173,ValueSet/HIV.C.DE99,ValueSet/HIV.D.DE182,ValueSet/HIV.E.DE52,ValueSet/HIV.D.DE186,ValueSet/HIV.PRV.DE2,ValueSet/HIV.D.DE1034,ValueSet/HIV.D.DE746,ValueSet/HIV.D.DE986,ValueSet/HIV.D.DE864,ValueSet/HIV.E.DE47,ValueSet/HIV.D.DE869,ValueSet/HIV.D.DE75,ValueSet/HIV.G.DE74,ValueSet/HIV.A.DE30,ValueSet/HIV.G.DE70,ValueSet/HIV.C.DE41,ValueSet/HIV.D.DE593,ValueSet/HIV.C.DE138,ValueSet/HIV.E.DE62,ValueSet/HIV.C.DE46,ValueSet/HIV.E.DE208,ValueSet/HIV.C.DE131,ValueSet/HIV.D.DE1028,ValueSet/HIV.D.DE358,ValueSet/HIV.E.DE200,ValueSet/HIV.B.DE165,ValueSet/HIV.E.DE204,ValueSet/HIV.B.DE284,ValueSet/HIV.G.DE62,ValueSet/HIV.A.DE46,ValueSet/HIV.B.DE158,ValueSet/HIV.C.DE31,ValueSet/HIV.E.DE75,ValueSet/HIV.C.DE36,ValueSet/HIV.Config.DE12,ValueSet/HIV.C.DE149,ValueSet/HIV.D.DE247,ValueSet/HIV.C.DE143,ValueSet/HIV.D.DE1010,ValueSet/HIV.E.DE67,ValueSet/HIV.D.DE128,ValueSet/HIV.D.DE1019,ValueSet/HIV.B.DE276,ValueSet/HIV.D.DE802,ValueSet/HIV.D.DE808,ValueSet/HIV.G.DE55,ValueSet/HIV.G.DE51,ValueSet/HIV.D.DE370,ValueSet/HIV.C.DE63,ValueSet/HIV.A.DE18,ValueSet/HIV.H.DE23,ValueSet/HIV.C.DE157,ValueSet/HIV.D.DE1,ValueSet/HIV.D.DE1002,ValueSet/HIV.H.DE13,ValueSet/HIV.H.DE17,ValueSet/HIV.B.DE98,ValueSet/HIV.D.DE259,ValueSet/HIV.D.DE934,ValueSet/HIV.D.DE813,ValueSet/HIV.G.DE48,ValueSet/HIV.D.DE939,ValueSet/HIV.G.DE43,ValueSet/HIV.A.DE25,ValueSet/HIV.C.DE55,ValueSet/HIV.E.DE91,ValueSet/HIV.B.DE94,ValueSet/HIV.D.DE383,ValueSet/HIV.B.DE88,ValueSet/HIV.C.DE164,ValueSet/HIV.D.DE146,ValueSet/HIV.D.DE821,ValueSet/HIV.D.DE942,ValueSet/HIV.B.DE179,ValueSet/HIV.D.DE706,ValueSet/HIV.D.DE947,ValueSet/HIV.G.DE35,ValueSet/HIV.D.DE709,ValueSet/HIV.D.DE828,ValueSet/HIV.B.DE293,ValueSet/HIV.B.DE172,ValueSet/HIV.H.DE1,ValueSet/HIV.E.DE240,ValueSet/HIV.B.DE81,ValueSet/HIV.H.DE41,ValueSet/HIV.D.DE430,ValueSet/HIV.D.DE673,ValueSet/HIV.B.DE74,ValueSet/HIV.E.DE246,ValueSet/HIV.B.DE121,ValueSet/HIV.E.DE127,ValueSet/HIV.B.DE237,ValueSet/HIV.B.DE115,ValueSet/HIV.E.DE230,ValueSet/HIV.C.DE107,ValueSet/HIV.H.DE34,ValueSet/HIV.D.DE560,ValueSet/HIV.D.DE681,ValueSet/HIV.C.DE101,ValueSet/HIV.B.DE68,ValueSet/HIV.D.DE449,ValueSet/HIV.D.DE569,ValueSet/HIV.D.DE446,ValueSet/HIV.D.DE17,ValueSet/HIV.D.DE688,ValueSet/HIV.B.DE111,ValueSet/HIV.E.DE114,ValueSet/HIV.E.DE234,ValueSet/HIV.B.DE149,ValueSet/HIV.E.DE220,ValueSet/HIV.B.DE269,ValueSet/HIV.B.DE61,ValueSet/HIV.D.DE691,ValueSet/HIV.C.DE24,ValueSet/HIV.D.DE697,ValueSet/HIV.E.DE108,ValueSet/HIV.C.DE112,ValueSet/HIV.D.DE217,ValueSet/HIV.D.DE457,ValueSet/HIV.B.DE142,ValueSet/HIV.E.DE225,ValueSet/HIV.E.DE104,ValueSet/HIV.C.DE1,ValueSet/HIV.B.DE261,ValueSet/HIV.C.DE17,ValueSet/HIV.B.DE136,ValueSet/HIV.C.DE11,ValueSet/HIV.B.DE50,ValueSet/HIV.H.DE50,ValueSet/HIV.C.DE125,ValueSet/HIV.H.DE53,ValueSet/HIV.D.DE461,ValueSet/HIV.D.DE225,ValueSet/HIV.D.DE466,ValueSet/HIV.B.DE44,ValueSet/HIV.D.DE229,ValueSet/HIV.B.DE256,ValueSet/HIV.D.DE903,ValueSet/HIV.B.DE132,ValueSet/HIV.E.DE212,ValueSet/HIV.B.DE250,ValueSet/HIV.E.DE216"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/condition-stage,ValueSet/encounter-reason,ValueSet/specimen-container-type,ValueSet/participant-role,ValueSet/procedure-followup,ValueSet/device-action,ValueSet/specimen-collection-method,ValueSet/medication-codes,ValueSet/adverse-event-type,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/procedure-code,ValueSet/reason-medication-status-codes,ValueSet/medication-as-needed-reason,ValueSet/device-kind,ValueSet/performer-role,ValueSet/referencerange-appliesto,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/condition-code,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ValueSet/servicerequest-orderdetail,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/admit-source,1.0.1,active,"2.16.840.1.113883.4.642.1.1092",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","ValueSet/encounter-admit-source"
http://terminology.hl7.org/CodeSystem/adverse-event-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1251",AdverseEventCategory,AdverseEventCategory,"Overall categorization of the event, e.g. product-related or situational.","ValueSet/adverse-event-category"
http://terminology.hl7.org/CodeSystem/adverse-event-causality-assess,1.0.1,active,"2.16.840.1.113883.4.642.1.1254",AdverseEventCausalityAssessment,AdverseEventCausalityAssessment,"Codes for the assessment of whether the entity caused the event.","ValueSet/adverse-event-causality-assess"
http://terminology.hl7.org/CodeSystem/adverse-event-causality-method,1.0.1,active,"2.16.840.1.113883.4.642.1.1255",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","ValueSet/adverse-event-causality-method"
http://terminology.hl7.org/CodeSystem/adverse-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.4.1252",AdverseEventOutcome,AdverseEventOutcome,"TODO (and should this be required?).","ValueSet/adverse-event-outcome"
http://terminology.hl7.org/CodeSystem/adverse-event-seriousness,1.0.1,active,"2.16.840.1.113883.4.642.1.1253",AdverseEventSeriousness,AdverseEventSeriousness,"Overall seriousness of this event for the patient.","ValueSet/adverse-event-seriousness"
http://terminology.hl7.org/CodeSystem/adverse-event-severity,1.0.0,draft,"2.16.840.1.113883.4.642.1.1256",AdverseEventSeverity,AdverseEventSeverity,"The severity of the adverse event itself, in direct relation to the subject.","ValueSet/adverse-event-severity"
http://terminology.hl7.org/CodeSystem/condition-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1073",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","ValueSet/condition-category"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/diagnosis-role,1.1.1,active,"2.16.840.1.113883.4.642.1.1054",DiagnosisRole,Diagnosis Role,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","ValueSet/diagnosis-role"
http://terminology.hl7.org/CodeSystem/diet,1.0.1,active,"2.16.840.1.113883.4.642.1.1091",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","ValueSet/encounter-diet"
http://terminology.hl7.org/CodeSystem/discharge-disposition,1.0.1,active,"2.16.840.1.113883.4.642.1.1093",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","ValueSet/encounter-discharge-disposition"
