Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust-phw.json	26890	-	0	0	0	0	0	0	4	33	0	0	0	0	0	0	0	0	0	0	81	96	0	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-ConsentRegistry.json	517	10	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	29	44	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Holder.json	601	10	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	702	10	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	712	9	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	25	42	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	507	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	36	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	541	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	25	36	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocExample.json	5477	11	5	0	0	0	0	0	0	1891	0	0	0	0	0	0	0	0	0	0	29	235	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8834	10	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	30	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	571	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	40	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3921	10	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	32	40	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1126	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	41	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HL.TYPE.json	552	9	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	40	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-PreQual.json	3882	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	98	52	0	0	0	0	3	0	0
fsh-generated/resources/Requirements-accept-mtls-connection.json	397	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-distribute-pki-material.json	443	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	36	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-initiate-mtls-connection.json	407	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-provide-a-vhl-to-a-receiver.json	413	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-publish-pki-material.json	381	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	1	0	0
fsh-generated/resources/Requirements-receive-a-vhl.json	381	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	35	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-receive-pki-material.json	434	10	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-retrieve-pki-material.json	464	9	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-DVC.json	1537	10	0	547	0	0	0	0	0	89	0	0	1	0	0	0	0	4	0	0	1498	3064	0	0	0	0	80	1	5
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-PreQual.json	1580	9	0	216	0	0	0	0	0	180	0	0	2	0	0	0	0	3	0	0	1485	1843	0	0	1	0	80	2	5
fsh-generated/resources/StructureDefinition-Composition-uv-ips-DVC.json	1540	9	0	91	0	0	0	0	0	81	0	0	0	0	0	0	0	2	0	0	611	1293	0	0	0	0	28	0	3
fsh-generated/resources/StructureDefinition-Composition-uv-ips-PreQual.json	1612	10	0	83	0	0	0	0	0	47	0	0	0	0	0	0	0	2	0	0	609	1389	0	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-DVC.json	3864	9	0	26	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	53	170	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DVCBundle.json	3012	10	0	306	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	260	542	0	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-DVCComposition.json	5135	10	0	21	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	255	323	0	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-DVCImmunization.json	2196	9	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	136	217	0	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-DVCMin.json	3165	10	0	12	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	49	117	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DVCMinPreQual.json	1087	9	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	36	83	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DVCMinVaccineDetails.json	3597	9	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	113	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DVCMinVaccineDetailsPreQual.json	1314	10	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	84	0	0	0	0	1	0	0
