Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-smart.who.int.trust.json	56277	-	0	0	0	0	0	0	4	142	0	0	0	0	0	0	0	0	0	0	218	302	0	0	0	9	0	0
fsh-generated/resources/ActorDefinition-Holder.json	580	17	0	0	2	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	31	49	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	908	14	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	40	46	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	620	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	46	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	503	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	537	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Actors.json	1041	13	0	0	1	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	39	107647	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConnectionTypes.json	596	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	152	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Domains.json	1378	9	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	38	138	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-KeyUsage.json	2019	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	52	148	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Participants.json	586	10	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	29	134	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PayloadTypes.json	579	10	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	41	128	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-RefMartCountryList.json	16808	15	0	0	0	0	0	0	1	25	0	0	1	0	0	0	0	0	0	0	180	179	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-Transactions.json	661	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	162	0	0	0	4	0	0
fsh-generated/resources/Endpoint-GDHCNParticipantDID-ALB-All.json	898	16	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	40	41	0	0	0	0	0	0
